diagnose_code,icd10_gruppe,icd10_kapitel,bezeichnung_de,schweregrad,haeufigkeit_antragspopulation_pct,altersschwerpunkt,uw_wirkung_tod,zuschlag_tod_pct,zuschlag_tod_promille,uw_wirkung_eu_bu,zuschlag_eu_bu_pct,ausschluss_code_eu_bu,zurueckstellung_monate,nachweis,freitext_variante_1,freitext_variante_2,freitext_variante_3_tippfehler,relevanz_eu_bu,arl_abweichung_hinweis,leistungsursache_kategorie,medikation_beispiel
DX-080,K50,XI,Morbus Crohn,2,0.4,JUNG,ZUSCHLAG,50,0,ZUSCHLAG,100,EX-DARM,0,FACHARZT,"Morbus Crohn seit 2015, Remission unter Medikamenten","Chronische Darmentzündung, Spritzen alle 8 Wochen",Morbus Cron,HOCH,,SONSTIGE,Adalimumab
DX-081,K51,XI,Colitis ulcerosa,2,0.4,JUNG,ZUSCHLAG,50,0,ZUSCHLAG,100,EX-DARM,0,FACHARZT,"Colitis ulcerosa, Mesalazin, aktuell ruhig","Darmentzündung, Schübe, Tabletten",Kolitis ulzerosa,HOCH,,SONSTIGE,Mesalazin
DX-082,K58,XI,Reizdarmsyndrom,1,3.0,JUNG,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,"Reizdarm, keine Behandlung","Empfindlicher Darm, Reizdarm",Reitzdarm,NIEDRIG,,SONSTIGE,
DX-083,K70,XI,Alkoholische Lebererkrankung,3,0.2,MITTEL,ZUSCHLAG,150,0,ABLEHNUNG,0,,0,FACHARZT;LABOR,"Fettleber durch Alkohol, Leberwerte erhöht","Leber angegriffen, trinke jetzt weniger",alkoholische Lebererkrankung,HOCH,,SONSTIGE,
DX-084,K74,XI,Leberzirrhose,3,0.1,ALT,ABLEHNUNG,0,0,ABLEHNUNG,0,,0,FACHARZT,Leberzirrhose Child A,Leberzirrhose,Leberzirose,HOCH,,SONSTIGE,
DX-085,K76,XI,Nichtalkoholische Fettleber,1,2.5,MITTEL,NORMAL,0,0,NORMAL,0,,0,LABOR,"Fettleber im Ultraschall, Leberwerte leicht erhöht","Fettleber, soll abnehmen",Fetleber,NIEDRIG,Leberwerte > 2x Norm: +25 %,SONSTIGE,
DX-086,K80,XI,"Cholelithiasis (Gallensteine), Gallenblase entfernt",1,2.0,MITTEL,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,Gallenblase 2020 entfernt,"Gallensteine, Gallen-OP",Gallenblase entfehrnt,NIEDRIG,,SONSTIGE,
DX-087,L20,XII,Atopische Dermatitis (Neurodermitis),1,3.0,JUNG,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,"Neurodermitis seit Kindheit, Cremes",Hautausschlag Neurodermitis,Neurodermitiss,NIEDRIG,,SONSTIGE,
DX-088,L40,XII,Psoriasis (Schuppenflechte),1,1.5,MITTEL,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,"Schuppenflechte, Salben",Psoriasis an Ellbogen,Schuppenflächte,NIEDRIG,Psoriasis-Arthritis: EU/BU +50 %,SONSTIGE,
DX-089,M05,XIII,Seropositive rheumatoide Arthritis,2,0.5,MITTEL,ZUSCHLAG,25,0,ZUSCHLAG,100,EX-GELENK,0,FACHARZT,"Rheuma seit 2017, Methotrexat, gut eingestellt","Rheumatoide Arthritis, Spritzen","Rheuma, Methotrexat",HOCH,,BEWEGUNG,Methotrexat
DX-090,M10,XIII,Gicht,1,1.5,ALT,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,"Gicht, Allopurinol","Gichtanfall im Zeh, Tabletten","Gicht, Alopurinol",NIEDRIG,,BEWEGUNG,Allopurinol
DX-091,M16,XIII,Coxarthrose (Hüftarthrose),2,1.2,ALT,NORMAL,0,0,ZUSCHLAG,50,EX-HUEFTE,0,ARZTZEUGNIS,"Hüftarthrose, 2022 Hüftprothese links",Neue Hüfte 2022,"Hüftartrose, Prothese",HOCH,,BEWEGUNG,
DX-092,M17,XIII,Gonarthrose (Kniearthrose),2,1.8,ALT,NORMAL,0,0,ZUSCHLAG,50,EX-KNIE,0,ARZTZEUGNIS,"Kniearthrose beidseits, Physiotherapie","Knie abgenutzt, Schmerzen beim Treppensteigen",Knieartrose,HOCH,,BEWEGUNG,
DX-093,M23,XIII,"Meniskusschaden, arthroskopisch versorgt",1,2.5,MITTEL,NORMAL,0,0,NORMAL,0,EX-KNIE,0,FRAGEBOGEN,"Meniskus-OP 2020 rechts, beschwerdefrei","Meniskus gerissen beim Fussball, operiert",Menikus OP,MITTEL,Bei koerperlichen Berufen: Ausschluss Knie,BEWEGUNG,
DX-094,M32,XIII,Systemischer Lupus erythematodes,3,0.1,JUNG,ZUSCHLAG,100,0,ABLEHNUNG,0,,0,FACHARZT,"Lupus seit 2018, Hydroxychloroquin, stabil","Lupus, Autoimmunerkrankung",Lupus erythematodes,HOCH,,BEWEGUNG,Hydroxychloroquin
DX-095,M41,XIII,Skoliose,1,1.5,JUNG,NORMAL,0,0,NORMAL,0,EX-WS,0,FRAGEBOGEN,"Leichte Skoliose, keine Behandlung","Wirbelsäulenverkrümmung, Physio",Skolliose,MITTEL,Cobb > 40 Grad: EU/BU Ausschluss Wirbelsaeule,BEWEGUNG,
DX-096,M45,XIII,Spondylitis ankylosans (Morbus Bechterew),2,0.3,JUNG,ZUSCHLAG,25,0,ZUSCHLAG,100,EX-WS,0,FACHARZT,"Bechterew, Biologikum, gut kontrolliert","Morbus Bechterew, Rücken steif morgens",Bechterew,HOCH,,BEWEGUNG,Etanercept
DX-097,M51,XIII,"Bandscheibenvorfall lumbal, mit OP",2,2.5,MITTEL,NORMAL,0,0,ZUSCHLAG,50,EX-WS,6,ARZTZEUGNIS,"Bandscheibenvorfall L4/L5 2021 operiert, beschwerdefrei","Bandscheibe OP, ab und zu Rückenschmerzen",Bandscheibenvorfal operiert,HOCH,EU/BU: Ausschluss Wirbelsaeule oder +50 %,BEWEGUNG,
DX-098,M54,XIII,"Rückenschmerzen (Lumbalgie), unspezifisch",1,10.0,ALLE,NORMAL,0,0,NORMAL,0,EX-WS,0,FRAGEBOGEN,"Gelegentlich Rückenschmerzen, Physiotherapie",Hexenschuss ab und zu,"Rükenschmerzen, Physio",MITTEL,Rezidivierend mit AU > 4 Wochen: EU/BU Ausschluss Wirbelsaeule,BEWEGUNG,Ibuprofen bei Bedarf
DX-099,M75,XIII,"Schulterläsion (Impingement, Rotatorenmanschette)",1,2.0,MITTEL,NORMAL,0,0,ZUSCHLAG,25,EX-SCHULTER,0,ARZTZEUGNIS,"Schulter-OP 2022 (Sehnenriss), wieder voll belastbar","Schulter operiert, Rotatorenmanschette","Schulterläsion, Rotatorenmanschete",HOCH,Handwerkliche Berufe: Ausschluss Schulter,BEWEGUNG,
DX-100,M79,XIII,Fibromyalgie,2,0.6,MITTEL,NORMAL,0,0,ABLEHNUNG,0,EX-PSY,0,FACHARZT,"Fibromyalgie, chronische Schmerzen, Schmerztherapie","Weichteilrheuma, Schmerzen überall",Fibromyalgi,HOCH,ARL-2025: Ausschluss psychisch+Bewegungsapparat statt Ablehnung,BEWEGUNG,Duloxetin
DX-101,M81,XIII,Osteoporose,2,0.8,ALT,NORMAL,0,0,ZUSCHLAG,50,,0,ARZTZEUGNIS,"Osteoporose, Bisphosphonat, Vitamin D","Knochenschwund, Tabletten",Osteoporosse,MITTEL,,BEWEGUNG,Alendronat
DX-102,N18,XIV,Chronische Niereninsuffizienz Stadium 2-3,3,0.3,ALT,ZUSCHLAG,100,0,ZUSCHLAG,150,,0,FACHARZT;LABOR,"Nierenfunktion eingeschränkt, Kontrolle beim Nephrologen","Nierenschwäche, GFR 55",Niereninsufizienz,HOCH,Stadium 4-5 / Dialyse: Ablehnung,SONSTIGE,
DX-103,N20,XIV,Nierensteine,1,1.5,MITTEL,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,"Nierensteine 2020, zertrümmert","Nierenkolik, Steine abgegangen",Nierenstein zertrümert,NIEDRIG,,SONSTIGE,
DX-104,N39,XIV,Rezidivierende Harnwegsinfekte,1,1.5,JUNG,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,Öfter Blasenentzündung,"Blasenentzündungen, Antibiotika",Harnwegsinfeckt,NIEDRIG,,SONSTIGE,
DX-105,N40,XIV,Benigne Prostatahyperplasie,1,1.5,ALT,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,"Vergrösserte Prostata, Tamsulosin","Prostata vergrössert, gutartig",Prostatavergröserung,NIEDRIG,,SONSTIGE,Tamsulosin
DX-106,N80,XIV,Endometriose,2,1.0,JUNG,NORMAL,0,0,ZUSCHLAG,25,EX-GYN,0,ARZTZEUGNIS,"Endometriose, 2021 Bauchspiegelung, Hormontherapie","Endometriose, starke Schmerzen bei Periode",Endometriosse,MITTEL,,SONSTIGE,Dienogest
DX-107,O24,XV,"Gestationsdiabetes (Schwangerschaftsdiabetes), abgeklungen",1,0.8,JUNG,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,"Schwangerschaftsdiabetes 2022, nach Geburt normal","Zucker in der Schwangerschaft, jetzt weg",Schwangerschaftsdiabetis,NIEDRIG,Erhoehtes Risiko fuer E11; Rueckfrage HbA1c bei BMI > 30,SONSTIGE,
DX-108,Z33,XV,Schwangerschaft (ohne Komplikationen),1,1.5,JUNG,NORMAL,0,0,ZURUECKSTELLUNG,0,,3,FRAGEBOGEN,"Schwanger, 5. Monat","Bin schwanger, ET im Oktober",schwanger im 5ten Monat,NIEDRIG,EU: Zurueckstellung bis 3 Monate nach Geburt; Tod: normal,SONSTIGE,
DX-109,Q21,XVII,"Angeborener Herzseptumdefekt, operativ verschlossen",1,0.3,JUNG,NORMAL,0,0,NORMAL,0,,0,FACHARZT,"Loch im Herz als Kind operiert, keine Einschränkung","Herzfehler bei Geburt, mit 3 Jahren operiert",Herzscheidewand Defekt operiert,NIEDRIG,Nicht verschlossen / Restshunt: +50 %,HERZ_KREISLAUF,
DX-110,S06,XIX,"Schädel-Hirn-Trauma (Gehirnerschütterung), folgenlos",1,1.5,JUNG,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,Gehirnerschütterung nach Velosturz 2021,"Sturz vom Rad, Gehirnerschütterung, 2 Tage Spital",Gehirnerschüterung,NIEDRIG,Schweres SHT mit Residuen: Facharzt,UNFALL,
DX-111,S72,XIX,"Femurfraktur (Oberschenkelbruch), verheilt",1,0.6,ALLE,NORMAL,0,0,NORMAL,0,,6,ARZTZEUGNIS,"Oberschenkelbruch Skiunfall 2020, Platte, ausgeheilt","Bein gebrochen beim Skifahren, Metall drin","Oberschenkelbruch, Platte",MITTEL,EU/BU innerhalb 6 Monaten nach Unfall: Zurueckstellung,UNFALL,
DX-112,S83,XIX,"Kreuzbandriss, operiert",1,2.0,JUNG,NORMAL,0,0,NORMAL,0,EX-KNIE,0,FRAGEBOGEN,"Kreuzbandriss 2019 operiert, voll belastbar",Kreuzband gerissen beim Fussball,Kreuzbandriss opperiert,MITTEL,Koerperliche Berufe: Ausschluss Knie,UNFALL,
DX-113,T78,XIX,"Allergie (Nahrungsmittel, Insektengift), mit Notfallset",1,2.5,ALLE,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,"Bienengiftallergie, habe Notfallspritze","Allergisch auf Nüsse, Epipen","Alergie Bienenstich, Notfalset",NIEDRIG,,SONSTIGE,Adrenalin-Autoinjektor
DX-114,Z73,XXI,"Burnout (Ausgebranntsein), ohne Depressionsdiagnose",2,1.5,MITTEL,NORMAL,0,0,ZUSCHLAG,50,EX-PSY,0,FRAGEBOGEN,"Burnout 2023, Coaching, keine Medikamente","War ausgebrannt, 6 Wochen Auszeit","Burnout, Ausgebrant",HOCH,Arztberichte codieren wechselnd Z73 / F43 (Extraktionsfalle),PSYCHISCH,
DX-115,Z95,XXI,Herzschrittmacher-Träger,2,0.2,ALT,ZUSCHLAG,50,0,ZUSCHLAG,50,,0,FACHARZT,"Herzschrittmacher seit 2020, Kontrolle jährlich",Habe Schrittmacher,Herzschrittmacher seit 2020,MITTEL,Grundleiden entscheidet (I44/I49),HERZ_KREISLAUF,
