interaktion_id,kanal,richtung,zeitpunkt,dauer_sekunden,partner_id,mitarbeiter_id,vermittler_id,bezug_typ,bezug_id,thread_id,betreff,zusammenfassung,sprache,sentiment_agent,datei_pfad,text_body,ist_persona_fall
INT-00000706,TELEFON,AUSGEHEND,2025-01-22T18:00:00Z,,PTR-00000007,MIT-00013,,ANTRAG,ANT-00000702,TH-00000705,Video-Beratung Vorsorge 3a (Notiz),,de,positiv,data/documents/S/personas/PTR-00000007/INT-00000706_telefon.md,"Video-Beratung 25 Min. Kunde L. Waibel, 23, Student Wirtschaftsinformatik, Werkstudent 40 Prozent, Einkommen ca. CHF 24'000. Wunsch: kleine 3a mit Flexibilitaet. Besprochen: Versicherungsloesung (Vorsorge 3a mit Praemienbefreiung bei EU) vs. Bankloesung; Bindung; Beitragspause bei Auslandsemester moeglich. Kunde entscheidet sich fuer Vorsorge 3a, CHF 150 monatlich, Ablauf 65, Praemienbefreiung eingeschlossen. Gesundheitsfragen im Gespraech vorbesprochen, alle nein. Beratungsdokumentation CH (freiwillig) erstellt und in der App hinterlegt.",true
INT-00000709,APP,EINGEHEND,2025-05-12T12:41:00Z,,PTR-00000007,,,VERTRAG,VTR-00000701,TH-00000709,Adressaenderung abgelehnt,,de,negativ,data/documents/S/personas/PTR-00000007/INT-00000709_app.md,"Fehlermeldung App: Adresse konnte nicht gespeichert werden. Eingabe: Farnweg 9, 8004 Zuerich 4. Grund: Ort 'Zuerich 4' nicht in PLZ-Verzeichnis.
kunde (Feedback): geht das per app? hab es jetzt mit 'Zuerich' probiert, dann gings. bisschen doof.",true
INT-00000714,EMAIL,EINGEHEND,2025-08-14T22:58:00Z,,PTR-00000007,MIT-00013,,VERTRAG,VTR-00000701,TH-00000714,haftpflicht in lissabon?,,de,neutral,data/documents/S/personas/PTR-00000007/INT-00000714.eml,"hallo, ich bin gerade in lissabon fuer ein auslandsemester (bis ende september). gilt meine haftpflicht hier? hab in der wg hier fast ein fenster kaputt gemacht ;)
merci, leon",true
INT-00000715,EMAIL,AUSGEHEND,2025-08-15T08:20:00Z,,PTR-00000007,MIT-00013,,VERTRAG,VTR-00000701,TH-00000714,Re: haftpflicht in lissabon?,,de,,data/documents/S/personas/PTR-00000007/INT-00000715.eml,"Hallo Leon

Ja, deine Privathaftpflicht gilt weltweit bei voruebergehendem Aufenthalt bis zu zwoelf Monaten (AVB PM-2025, Ziffer A3). Auch Mietsachschaeden an deiner WG in Lissabon sind bis CHF 100'000 gedeckt, Selbstbehalt CHF 200. Melde einen Schaden am besten direkt in der App mit Fotos.

Freundliche Gruesse
Dario Bianchi, Kundenservice Olten",true
INT-00000720,APP,EINGEHEND,2025-11-25T20:15:00Z,,PTR-00000007,,,VERTRAG,VTR-00000701,TH-00000720,Kuendigung Privathaftpflicht per 31.12.2025,,de,neutral,data/documents/S/personas/PTR-00000007/INT-00000720_app.md,"Kuendigungsformular App
Vertrag: VTR-00000701 PrivatPlus Einzel
Kuendigung per: 31.12.2025 (Hauptfaelligkeit)
Grund: Wechsel Anbieter (Kollektivrabatt Arbeitgeber)
Freitext: danke, war alles ok. die 3a behalte ich.
Bestaetigung automatisch versandt 25.11.2025 20:15. Rueckgewinnungsangebot (10 Prozent Treuerabatt) per Push 26.11.2025, nicht geoeffnet.",true
INT-00000721,CHAT,EINGEHEND,2025-12-02T13:44:00Z,,PTR-00000007,MIT-00010,,VERTRAG,VTR-00000702,TH-00000721,Chat: bleibt die 3a? (Halluzination Buendelrabatt),,de,,data/documents/S/personas/PTR-00000007/INT-00000721_chat.md,"kunde: bleibt meine 3a bestehen wenn ich die haftpflicht kuendige?
assistent: Ja, die Vorsorge 3a ist ein eigenstaendiger Vertrag und laeuft unveraendert weiter. Beachte nur, dass mit der Kuendigung der Haftpflicht der Buendelrabatt von 10 Prozent auf die 3a-Praemie entfaellt.
kunde: welcher buendelrabatt? auf meiner praemie steht nichts davon
assistent: Du hast recht, ich muss mich korrigieren: Fuer die Vorsorge 3a gibt es keinen Buendelrabatt. Der Buendelrabatt gilt nur fuer die Privathaftpflicht in Kombination mit einer Lebensversicherung. Deine 3a-Praemie von CHF 150 monatlich bleibt unveraendert.

[Feedback-Button: Antwort falsch. Fehlerprotokoll LLM-2025-1202-03, Kategorie: erfundener Produktbestandteil]",true
INT-00000801,TELEFON,EINGEHEND,2025-03-21T16:35:00Z,,PTR-00000008,,,SCHADEN,SCH-00000810,TH-00000810,Telefonnotiz Schadenmeldung Hundebiss,,de,neutral,data/documents/S/personas/PTR-00000008/INT-00000801_telefon.md,"Tel. VN Pieper, Contact Center Leipzig (Aushilfe), 7 Min. Stichworte: Hund, Biss, Radfahrer, Leine ja, Wade, Notaufnahme Uniklinik, Hose kaputt. Geschaedigter: Herr M., Dresden, Kontaktdaten aufgenommen. VN sagt 'Hund ist doch bei euch versichert, seit 2019'. Erfasst in MINT als Schaden SCH-00000810, Kategorie Tierhalter.",true
INT-00000802,BRIEF,AUSGEHEND,2025-03-24T06:00:00Z,,PTR-00000008,,,SCHADEN,SCH-00000810,TH-00000810,Ablehnung Ihres Schadens SCH-00000810 (automatisch),,de,,data/documents/S/personas/PTR-00000008/INT-00000802_brief.md,"Sehr geehrter Herr Pieper,

Sie haben uns einen Schaden vom 21.03.2025 gemeldet, den Ihr Hund verursacht hat. Nach Pruefung Ihres Vertrages VTR-00000801 muessen wir Ihnen mitteilen, dass Schaeden durch Tiere nur versichert sind, wenn der Baustein Tierhalterhaftpflicht eingeschlossen ist. Ihr Vertrag enthaelt diesen Baustein nicht. Wir koennen den Schaden daher nicht uebernehmen (AHB 2013 Ziffer 7.4 in Verbindung mit BBR 2015).

Sollten Sie mit dieser Entscheidung nicht einverstanden sein, koennen Sie sich an den Versicherungsombudsmann e. V. wenden.

Mit freundlichen Gruessen
Pfefferminzia Versicherung AG, Niederlassung Deutschland
Schaden Haftpflicht

Dieses Schreiben wurde maschinell erstellt und ist ohne Unterschrift gueltig.",true
INT-00000803,BRIEF,EINGEHEND,2025-03-28T00:00:00Z,,PTR-00000008,MIT-00009,,SCHADEN,SCH-00000810,TH-00000810,BESCHWERDE – SCHADEN NR. SCH-00000810 – ABLEHNUNG UNBERECHTIGT,,de,negativ,data/documents/S/personas/PTR-00000008/INT-00000803_brief.md,"Dresden, den 28. Maerz 2025

BESCHWERDE – SCHADEN NR. SCH-00000810 – ABLEHNUNG UNBERECHTIGT

Sehr geehrte Damen und Herren,

Ihr Schreiben vom 24.03.2025 habe ich erhalten. Sie behaupten, mein Vertrag enthalte keinen Tierhalterbaustein. DAS IST FALSCH. Ich habe den Baustein seit dem 1. Maerz 2019 in meinem Vertrag, damals bei Ihrer Agentur in Dresden abgeschlossen. Ich habe das Beratungsprotokoll und den Nachtrag Nr. 2 hier vor mir liegen, mit Unterschrift Ihres Vertreters. Seit 2019 bezahle ich dafuer jedes Jahr 56,50 Euro mehr.

Es ist mein gutes Recht, dass Sie den Schaden meines Nachbarn bezahlen. Herr M. hat mir gesagt, er wartet noch bis Mitte April, dann geht er zum Anwalt.

Ich fordere Sie auf, den Schaden binnen 14 Tagen zu regulieren und mir schriftlich zu erklaeren, wer diesen Brief geschrieben hat. Ein Computer kann mir nicht meinen Vertrag absprechen. Sollten Sie nicht reagieren, wende ich mich an die Saechsische Zeitung und an den Ombudsmann.

Hochachtungsvoll
H.-G. Pieper

Anlagen: Kopie Nachtrag Nr. 2 vom 15.02.2019, Kopie Beratungsprotokoll",true
INT-00000804,EMAIL,AUSGEHEND,2025-04-02T11:20:00Z,,PTR-00000008,,,SCHADEN,SCH-00000810,TH-00000810,Eingangsbestaetigung Ihrer Beschwerde,,de,,data/documents/S/personas/PTR-00000008/INT-00000804.eml,"Sehr geehrter Herr Pieper,

vielen Dank fuer Ihr Schreiben vom 28.03.2025. Ihr Anliegen wird geprueft. Wir melden uns innerhalb von 15 Arbeitstagen bei Ihnen.

Mit freundlichen Gruessen
Kundenservice Leipzig",true
INT-00000805,BRIEF,EINGEHEND,2025-04-15T00:00:00Z,,PTR-00000008,MIT-00012,,SCHADEN,SCH-00000810,TH-00000810,ZWEITE BESCHWERDE – OMBUDSMANN UND BAFIN,,de,negativ,data/documents/S/personas/PTR-00000008/INT-00000805_brief.md,"Dresden, den 15. April 2025

ZWEITE BESCHWERDE – SCHADEN NR. SCH-00000810

Sehr geehrte Damen und Herren,

auf meine Beschwerde vom 28.03. habe ich eine Standardmail bekommen, in der steht, mein Anliegen werde geprueft. Seither: NICHTS. Herr M. war gestern bei mir und hat mir die Anwaltskarte gezeigt.

Ich habe mich heute schriftlich an den Versicherungsombudsmann e. V. in Berlin gewandt (Kopie anbei). Ich werde mich ausserdem bei der Bundesanstalt fuer Finanzdienstleistungsaufsicht beschweren, weil Sie einen Vertrag, den ich seit sechs Jahren bezahle, per Computer fuer nicht existent erklaeren. Sie haben das schriftlich.

Hochachtungsvoll
H.-G. Pieper",true
INT-00000806,EMAIL,INTERN,2025-04-16T09:05:00Z,,PTR-00000008,MIT-00009,,SCHADEN,SCH-00000810,TH-00000806,Eskalation Fall Pieper: automatische Ablehnung trotz Baustein,,de,negativ,data/documents/S/personas/PTR-00000008/INT-00000806.eml,"An: Jonas Pfister (MLOps), Miriam Steinbrecher (Compliance DE); Cc: Martina Jost

Hallo zusammen,

wir haben ein Problem. Der Kunde Pieper (VTR-00000801) hat seit 2019 den Baustein Tierhalter, das sehe ich in HAPO (ZUSATZ1 = 'HUND', BST=01). In MINT ist das Feld coverages nach der Migration leer. Die Triage v3 hat den Schaden am 24.03. automatisch abgelehnt und das Ablehnungsschreiben ist rausgegangen, ohne dass jemand draufgeschaut hat. Der Kunde ist beim Ombudsmann und will zur BaFin.

Ich reguliere heute. Aber: Wie viele Vertraege sind noch betroffen? Und warum konnte eine Ablehnung automatisch raus? Die Kompetenzordnung sagt, Ablehnungen nie automatisch.

Aylin",true
INT-00000807,EMAIL,INTERN,2025-04-16T14:40:00Z,,PTR-00000008,MIT-00010,,SCHADEN,SCH-00000810,TH-00000806,Re: Eskalation Fall Pieper,,de,neutral,data/documents/S/personas/PTR-00000008/INT-00000807.eml,"Hi Aylin,

ich habe es gefunden. Im Migrationsmapping HP-2025-Q2 wurde der HAPO-Bausteincode BST=01 (Tierhalter) nicht auf coverages gemappt, weil in HAPO die Rasse im Freitext ZUSATZ1 steht und der Parser das Feld als Bemerkung behandelt hat. Betroffen: 214 Vertraege mit BST=01 in der Migration, davon 11 mit Schaden seit Maerz, davon 11 automatisch abgelehnt (Regel 'Tierhalter ohne Baustein' = Ablehnung).

Zur zweiten Frage: Die Regel war als 'Deckungspruefung negativ' konfiguriert und hat den Vier-Augen-Schritt nicht ausgeloest, weil sie als Konfigurationsregel und nicht als Modellentscheidung galt. Das habe ich im Review uebersehen. Heute Nachmittag: Regel deaktiviert, die 11 Faelle an dein Team, Nachmigration der 214 Vertraege bis Freitag.

Jonas",true
INT-00000808,BRIEF,AUSGEHEND,2025-04-17T00:00:00Z,,PTR-00000008,MIT-00009,,SCHADEN,SCH-00000810,TH-00000810,Ihr Schaden SCH-00000810: Regulierung und Entschuldigung,,de,,data/documents/S/personas/PTR-00000008/INT-00000808_brief.md,"Sehr geehrter Herr Pieper,

Sie haben recht, und wir haben einen Fehler gemacht. Ihr Vertrag enthaelt seit dem 01.03.2019 den Baustein Tierhalterhaftpflicht. Bei der Uebernahme Ihres Vertrages in unser neues System im Maerz 2025 ist dieser Baustein nicht uebertragen worden. Unser Schadensystem hat deshalb Ihre Meldung automatisch abgelehnt. Das haette nicht passieren duerfen: Eine Ablehnung muss bei uns immer von einem Menschen geprueft werden.

Wir haben den Schaden heute reguliert: EUR 1.240,00 wurden an Herrn M. ueberwiesen (Arztkosten und Hose). Ein Selbstbehalt faellt nicht an. Fuer Ihren Aufwand und die Verzoegerung ueberweisen wir Ihnen zusaetzlich EUR 100,00 auf das uns bekannte Konto.

Ihr Vertrag ist korrigiert; der Baustein ist wieder im System sichtbar. Ich bitte Sie um Entschuldigung. Fuer Rueckfragen erreichen Sie mich direkt unter der unten stehenden Nummer.

Mit freundlichen Gruessen
Aylin Demirci
Teamleiterin Schaden Haftpflicht Deutschland",true
INT-00000809,BRIEF,EINGEHEND,2025-04-24T00:00:00Z,,PTR-00000008,MIT-00012,,SCHADEN,SCH-00000810,TH-00000809,"Versicherungsombudsmann e. V.: Beschwerde Pieper ./. Pfefferminzia, Az. O-2025-04-1187",,de,neutral,data/documents/S/personas/PTR-00000008/INT-00000809_brief.md,"Sehr geehrte Damen und Herren,

Herr Hans-Georg Pieper, Dresden, hat sich mit Schreiben vom 15.04.2025 an den Versicherungsombudsmann gewandt. Gegenstand ist die Ablehnung eines Haftpflichtschadens vom 21.03.2025 (Ihr Zeichen SCH-00000810) mit der Begruendung, der Vertrag enthalte keine Tierhalterdeckung, obwohl der Beschwerdefuehrer einen Nachtrag vom 15.02.2019 vorlegt.

Wir bitten um Stellungnahme innerhalb von drei Wochen, insbesondere zu folgenden Punkten: (1) Vertragsstand zum Schadenzeitpunkt, (2) Zustandekommen der Ablehnung, (3) ob die Ablehnung automatisiert erfolgte und ob eine Ueberpruefung durch eine natuerliche Person stattgefunden hat, (4) zwischenzeitliche Regulierung.

Mit freundlichen Gruessen
Versicherungsombudsmann e. V., Referat Haftpflicht",true
INT-00000811,BRIEF,AUSGEHEND,2025-05-08T00:00:00Z,,PTR-00000008,MIT-00012,,SCHADEN,SCH-00000810,TH-00000809,Stellungnahme zur Beschwerde Az. O-2025-04-1187,,de,,data/documents/S/personas/PTR-00000008/INT-00000811_brief.md,"Sehr geehrte Damen und Herren,

zu Ihrer Anfrage vom 24.04.2025 nehmen wir wie folgt Stellung:

1. Vertragsstand: Der Vertrag VTR-00000801 (vormals 40.288.506-4) enthielt zum Schadenzeitpunkt den Baustein Tierhalterhaftpflicht (Nachtrag Nr. 2 vom 15.02.2019, wirksam 01.03.2019). Die Deckung bestand.
2. Zustandekommen der Ablehnung: Bei der Migration des Vertragsbestands in unser neues Bestandssystem am 15.05.2025 wurde der Bausteincode aus dem Altsystem nicht uebernommen. Das Schadensystem prueft Deckungen gegen das neue Bestandssystem und kam deshalb zu einem falschen Ergebnis. Es handelt sich um einen Datenfehler, nicht um eine Ermessensentscheidung.
3. Automatisierung: Die Ablehnung erfolgte automatisiert durch eine Konfigurationsregel unseres Schadensystems, ohne Ueberpruefung durch eine natuerliche Person. Das widerspricht unserer internen Kompetenzordnung, nach der ablehnende Entscheidungen stets durch Mitarbeitende zu treffen sind. Ursache war eine Fehlkonfiguration der Regel, die den vorgesehenen Vier-Augen-Schritt nicht ausloeste. Wir haben die Regel am 16.04.2025 deaktiviert, die Kompetenzordnung in Version 2.1 technisch abgesichert (Ablehnungen nur noch mit Freigabe) und alle 214 von demselben Migrationsfehler betroffenen Vertraege korrigiert. Elf weitere Faelle mit gleicher Fehlablehnung wurden von Amts wegen wiedereroeffnet und reguliert.
4. Regulierung: Der Schaden wurde am 17.04.2025 vollstaendig reguliert (EUR 1.240,00 an den Geschaedigten), dem Beschwerdefuehrer wurde eine Kulanzzahlung von EUR 100,00 geleistet und eine schriftliche Entschuldigung uebermittelt.

Wir bedauern den Vorfall und betrachten die Beschwerde als berechtigt.

Mit freundlichen Gruessen
Miriam Steinbrecher, Compliance Officer und Leiterin Beschwerdestelle Deutschland",true
INT-00000823,BRIEF,EINGEHEND,2025-07-07T00:00:00Z,,PTR-00000008,MIT-00009,,VERTRAG,VTR-00000801,TH-00000823,Schriftliche Zusicherung: keine Computerentscheidung mehr,,de,neutral,data/documents/S/personas/PTR-00000008/INT-00000823_brief.md,"Sehr geehrte Frau Demirci,

Ihr Brief vom 17. April und das Geld sind angekommen, dafuer danke ich Ihnen. Ich bleibe bei Ihnen versichert. Aber ich moechte es schriftlich haben, dass kein Computer mehr ueber meine Schaeden entscheidet. Bitte bestaetigen Sie mir das.

Hochachtungsvoll
H.-G. Pieper",true
INT-00000824,BRIEF,AUSGEHEND,2025-07-14T00:00:00Z,,PTR-00000008,MIT-00009,,VERTRAG,VTR-00000801,TH-00000823,Re: Schriftliche Zusicherung,,de,,data/documents/S/personas/PTR-00000008/INT-00000824_brief.md,"Sehr geehrter Herr Pieper,

gerne bestaetige ich Ihnen: Ablehnungen von Schaeden werden bei uns ausschliesslich von Mitarbeitenden entschieden und seit April zusaetzlich technisch durch eine zweite Freigabe abgesichert. Unser System darf Schaeden nur dann selbststaendig bearbeiten, wenn es sie bezahlt, und auch das nur bis EUR 5.000 bei eindeutiger Deckung. Jede Ablehnung, jede Kuerzung und jede Kulanzentscheidung trifft ein Mensch.

Ich freue mich, dass Sie bei uns bleiben.

Mit freundlichen Gruessen
Aylin Demirci",true
INT-00000918,PORTAL,EINGEHEND,2024-09-02T07:31:00Z,,PTR-00000009,,,SCHADEN,SCH-00000918,TH-00000918,Schadenmeldung Wasserschaden Kundenwohnung,,de,neutral,data/documents/S/personas/PTR-00000009/INT-00000918_portal.md,"Schaden ist passiert beim transport am 29.8., ein wasserkanister (20 liter, fuer die baustelle vom kunde) ist im laderaum umgekippt und beim ausladen in die wohnung gelaufen, laminat und teppich kaputt. Kunde will sein geld, rechnung vom bodenleger und fotos anbei. hab alles hochgeladen.
Gruss Marcel",true
INT-00000919,EMAIL,INTERN,2024-09-03T09:12:00Z,,PTR-00000009,MIT-00009,,SCHADEN,SCH-00000918,TH-00000919,"Betrugsmodell v2: Score 0.87 fuer SCH-00000918, Serie Grimm",,de,neutral,data/documents/S/personas/PTR-00000009/INT-00000919.eml,"Automatische Benachrichtigung MINT Betrugsmodell v2 an SIU und Teamleitung Schaden DE

Schaden SCH-00000918, Score 0.87 (Schwelle 0.70). Beitragende Merkmale: Schadenhaeufung Kunde (5 Schaeden in 24 Monaten auf 2 Vertraegen), Geschaedigte im PLZ-Cluster 157xx (4 von 5), Rechnungsvorlagen-Aehnlichkeit (SCH-00000910 und SCH-00000916: Layout-Hash identisch), EXIF-Datum der Fotos 12.08.2024 vor gemeldetem Schadendatum 29.08.2024, Meldeverzug 4 Tage, Privat- und Betriebsvertrag mit abweichender Namensschreibweise auf gleicher Adresse.

Empfehlung: Zahlung zurueckstellen, SIU-Pruefung.",true
INT-00000925,TELEFON,AUSGEHEND,2024-10-22T14:05:00Z,,PTR-00000009,MIT-00009,,SCHADEN,SCH-00000918,TH-00000919,Telefonnotiz SIU: Befragung Geschaedigter,,de,neutral,data/documents/S/personas/PTR-00000009/INT-00000925_telefon.md,"SIU-Notiz (extern, Ermittlungsbuero): Geschaedigter SCH-00000918 unter angegebener Nummer nicht erreichbar, Adresse existiert, Klingelschild anderer Name. Geschaedigter SCH-00000914 (Laptop) telefonisch erreicht: 'Marcel hat gesagt, ich soll das unterschreiben, der Laptop war eh alt.' Widerruft Bestaetigung. 'TV-Welt Wildau' nicht im Handelsregister, Adresse ist ein Kiosk. 'Moebel Spreewald' Briefkasten ohne Ladengeschaeft, Telefonnummer identisch mit Mobilnummer des VN.",true
INT-00000930,BRIEF,AUSGEHEND,2025-01-15T00:00:00Z,,PTR-00000009,MIT-00009,,SCHADEN,SCH-00000918,TH-00000930,"Ablehnung Schaden SCH-00000918, Rueckforderung, Kuendigung der Vertraege",,de,,data/documents/S/personas/PTR-00000009/INT-00000930_brief.md,"Sehr geehrter Herr Grimm,

nach Abschluss unserer Pruefung lehnen wir den mit Meldung vom 02.09.2024 geltend gemachten Schaden ab. Die von Ihnen eingereichten Fotos wurden nach ihren Metadaten am 12.08.2024 aufgenommen, siebzehn Tage vor dem angegebenen Schadentag. Der von Ihnen benannte Geschaedigte ist unter der angegebenen Anschrift nicht ansaessig. Wir gehen von einer arglistigen Taeuschung aus und sind leistungsfrei (Paragraph 28 VVG in Verbindung mit den Bedingungen, vereinfachte Darstellung).

Darueber hinaus haben unsere Ermittlungen ergeben, dass die Rechnungssteller der Schaeden vom 06.09.2022 (EUR 890,00) und 08.04.2024 (EUR 2.300,00) nicht existieren. Wir fordern die geleisteten Zahlungen in Hoehe von EUR 3.190,00 bis zum 14.02.2025 zurueck.

Wir kuendigen die Vertraege VTR-00000901 und VTR-00000902 mit sofortiger Wirkung. Wir haben Strafanzeige bei der Staatsanwaltschaft Cottbus erstattet.

Mit freundlichen Gruessen
Aylin Demirci, Teamleiterin Schaden Haftpflicht Deutschland
Special Investigation Unit",true
INT-00000931,BRIEF,EINGEHEND,2025-02-04T00:00:00Z,,PTR-00000009,MIT-00006,,SCHADEN,SCH-00000918,TH-00000930,"Anwaltsschreiben: Zurueckweisung der Vorwuerfe, Auskunftsverlangen Art. 15 DSGVO",,de,negativ,data/documents/S/personas/PTR-00000009/INT-00000931_brief.md,"Sehr geehrte Damen und Herren,

wir zeigen an, dass wir Herrn Marcel Grimm anwaltlich vertreten. Namens und in Vollmacht unseres Mandanten weisen wir die in Ihrem Schreiben vom 15.01.2025 erhobenen Vorwuerfe zurueck. Unser Mandant bestreitet jede Taeuschung. Die Fotos wurden mit einem Geraet mit falsch eingestelltem Datum aufgenommen. Die Kuendigung ist unwirksam, die Rueckforderung entbehrt jeder Grundlage.

Wir fordern Sie auf, den Schaden in Hoehe von EUR 6.800,00 bis zum 18.02.2025 zu regulieren.

Ferner verlangen wir gemaess Art. 15 DSGVO Auskunft darueber, welche personenbezogenen Daten unseres Mandanten Sie verarbeiten und nach welchen Kriterien Ihre Software unseren Mandanten als Betrugsverdaechtigen eingestuft hat. Die Verdaechtigung durch ein automatisiertes System ist mit Art. 22 DSGVO unvereinbar.

Mit freundlichen Gruessen
Rechtsanwaelte Dahme & Kollegen",true
INT-00000932,BRIEF,AUSGEHEND,2025-02-20T00:00:00Z,,PTR-00000009,MIT-00006,,SCHADEN,SCH-00000918,TH-00000930,Auskunft nach Art. 15 DSGVO,,de,,data/documents/S/personas/PTR-00000009/INT-00000932_brief.md,"Sehr geehrte Damen und Herren,

zu Ihrem Auskunftsverlangen: Wir verarbeiten die Vertrags-, Schaden- und Kommunikationsdaten Ihres Mandanten aus den Vertraegen VTR-00000901 und VTR-00000902 sowie die von ihm eingereichten Belege und Fotos einschliesslich deren Metadaten. Zur Betrugserkennung setzen wir ein Bewertungsverfahren ein, das Auffaelligkeiten kennzeichnet; die Entscheidung ueber Ablehnung, Kuendigung und Strafanzeige hat unsere Ermittlungsstelle nach eigener Pruefung getroffen, nicht das Verfahren. Die Kennzeichnung beruhte auf der Haeufung von Schaeden, der Aehnlichkeit eingereichter Belege und Widerspruechen zwischen Angaben und Belegen. Einzelne Gewichtungen des Verfahrens teilen wir mit Ruecksicht auf die Wirksamkeit der Betrugsabwehr nicht mit (Art. 15 Abs. 4 DSGVO, vereinfachte Darstellung).

In der Sache bleiben wir bei unserer Entscheidung vom 15.01.2025.

Mit freundlichen Gruessen
Sven Lindqvist-Brandt, Datenschutzbeauftragter",true
INT-00001001,EMAIL,AUSGEHEND,2025-04-24T10:30:00Z,,PTR-00000010,MIT-00005,VRM-00014,ANTRAG,ANT-00001001,TH-00001001,Ihr Antrag Vorsorge 3b mit Einmalpraemie: ergaenzende Unterlagen zur Herkunft der Mittel,,de,,data/documents/S/personas/PTR-00000010/INT-00001001.eml,"Sehr geehrte Frau Ferreira-Bucher

Vielen Dank fuer Ihren Antrag vom 14.04.2025. Bei Einmalpraemien ueber CHF 100'000 sind wir gesetzlich verpflichtet, die Herkunft der Mittel zu klaeren (Geldwaeschereigesetz, vereinfachte Darstellung). Ihr Formular und der Kaufvertrag der Wohnung in Lissabon liegen uns vor. Fuer den Abschluss der Pruefung benoetigen wir noch:

1. den Kontoauszug, auf dem der Eingang des Verkaufserloeses ersichtlich ist;
2. einen Nachweis ueber die Herkunft des Eigenkapitals beim Kauf der Wohnung im Jahr 2013;
3. eine kurze Angabe, ob zu Ihrem in Portugal politisch taetigen Onkel eine finanzielle Beziehung besteht (Zahlungen, gemeinsame Konten, Schenkungen).

Die Fragen sind Routine und richten sich nicht gegen Sie persoenlich. Ihre Angaben behandeln wir vertraulich.

Freundliche Gruesse
Geldwaescherei-Fachstelle, Pfefferminzia Leben AG",true
INT-00001004,EMAIL,EINGEHEND,2025-05-08T22:15:00Z,,PTR-00000010,MIT-00005,VRM-00014,ANTRAG,ANT-00001001,TH-00001001,Re: ergaenzende Unterlagen zur Herkunft der Mittel,,de,negativ,data/documents/S/personas/PTR-00000010/INT-00001004.eml,"Sehr geehrte Damen und Herren

Ich habe alle Dokumente angehaengt: Kontoauszug mit dem Eingang aus Lissabon (EUR 520'000), den Erbschein von 2012 fuer das Eigenkapital (Erbschaft meiner Grossmutter in Basel, CHF 180'000) und eine Erklaerung zu meinem Onkel, den ich zweimal im Jahr an Familienfesten sehe und mit dem ich nie eine finanzielle Beziehung hatte.

Koennen Sie mir bitte erklaeren, warum ich als Rueckkehrerin mit vollstaendig dokumentiertem Vermoegen behandelt werde, als haette ich etwas zu verbergen? Ich habe zwoelf Jahre Compliance-nahe Arbeit in der Pharmaindustrie hinter mir und weiss, was due diligence ist; aber der Ton Ihrer Anfrage und der Aufwand stehen in keinem Verhaeltnis zu einer Vorsorgeversicherung. Mein Makler hat mir zugesichert, dass das ein Standardprozess von wenigen Tagen ist.

Freundliche Gruesse
Nadia Ferreira-Bucher",true
INT-00001005,EMAIL,AUSGEHEND,2025-05-12T09:10:00Z,,PTR-00000010,MIT-00005,VRM-00014,ANTRAG,ANT-00001001,TH-00001001,Re: ergaenzende Unterlagen zur Herkunft der Mittel,,de,,data/documents/S/personas/PTR-00000010/INT-00001005.eml,"Sehr geehrte Frau Ferreira-Bucher

Vielen Dank fuer die vollstaendigen Unterlagen und fuer Ihre offenen Worte. Sie haben recht: Der Aufwand ist fuer Sie unangenehm, und ich bedaure, dass unsere erste Anfrage nuechterner ausfiel, als sie sollte. Die Pruefung ist bei Einmalpraemien dieser Groessenordnung und bei einem Familienbezug zu einer politisch exponierten Person zwingend, unabhaengig von der Person. Mit Ihren Unterlagen koennen wir sie jetzt abschliessen; Sie hoeren bis Ende naechster Woche von uns.

Freundliche Gruesse
Martina Jost, Leiterin Geldwaescherei-Fachstelle",true
INT-00001010,EMAIL,EINGEHEND,2025-09-22T11:40:00Z,,PTR-00000010,MIT-00007,,VERTRAG,VTR-00001001,TH-00001010,Frage Rueckkaufswert nach einem Jahr,,de,neutral,data/documents/S/personas/PTR-00000010/INT-00001010.eml,"Guten Tag

Koennen Sie mir bitte sagen, wie hoch der Rueckkaufswert meiner Vorsorge 3b (Einmalpraemie CHF 450'000) nach einem Jahr, nach drei und nach fuenf Jahren waere, falls ich das Geld fuer eine Praxisbeteiligung brauche? Ich haette gerne eine Tabelle.

Freundliche Gruesse, Nadia Ferreira-Bucher",true
INT-00001012,EMAIL,EINGEHEND,2025-11-03T17:25:00Z,,PTR-00000010,MIT-00005,VRM-00014,VERTRAG,VTR-00001001,TH-00001012,Beschwerde ueber Beratung: Laufzeit und Steuerfreiheit,,de,negativ,data/documents/S/personas/PTR-00000010/INT-00001012.eml,"Sehr geehrte Damen und Herren

Mein Makler hat mir heute mitgeteilt, dass die Auszahlung meiner Vorsorge 3b nur steuerfrei ist, wenn ich bei Ablauf mindestens 60 Jahre alt bin. Bei der vereinbarten Laufzeit von zwoelf Jahren bin ich 58. Genau diese Steuerfreiheit war der Grund, warum ich CHF 450'000 in diese Loesung eingebracht habe; das steht so in der Beratungsdokumentation vom Maerz.

Ich bitte um Stellungnahme, wie dieser Fehler passieren konnte, und um einen Vorschlag, wie er behoben wird, ohne dass mir Nachteile entstehen. Bitte erklaeren Sie mir auch, ob eine Verlaengerung der Laufzeit die Stempelabgabe oder die Garantie veraendert.

Freundliche Gruesse
Nadia Ferreira-Bucher",true
